IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Sex,Male,MLE,Cause,Total,ENVCAUSE000,,,,,,,118922,,,80982,,154102,118 922 [80 982 – 154 102],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,1185,,,152.1,,2016,1185 [152.1 – 2016],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,1189,,,539.9,,1970,1189 [539.9 – 1970],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,119,,,18.11,,278.6,119 [18.11 – 278.6],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,true,Sex,Both sexes,BTSX,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,119036,,,73561,,155216,119 036 [73 561 – 155 216],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Male,MLE,Cause,Total,ENVCAUSE000,,,,,,,119172,,,77878,,167068,119 172 [77 878 – 167 068],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,TGO,Togo,Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,119270,,,81532,,158255,119 270 [81 532 – 158 255],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,119279,,,76301,,153693,119 279 [76 301 – 153 693],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,119447,,,84619,,149489,119 447 [84 619 – 149 489],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Male,MLE,Cause,Total,ENVCAUSE000,,,,,,,119531,,,86015,,153942,119 531 [86 015 – 153 942],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,true,Sex,Female,FMLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,119631,,,75731,,155708,119 631 [75 731 – 155 708],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,true,Sex,Both sexes,BTSX,Cause,Stroke,ENVCAUSE114,,,,,,,119754,,,31071,,243337,119 754 [31 071 – 243 337],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,119.8,,,62.98,,175,119.8 [62.98 – 175],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,Sex,Male,MLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,1193,,,176.6,,3179,1193 [176.6 – 3179],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Sex,Both sexes,BTSX,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,1194,,,399.3,,2355,1194 [399.3 – 2355],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,1196,,,0,,2314,1196 [0 – 2314],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Male,MLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,12004,,,3872,,24194,12 004 [3872 – 24 194],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,true,Sex,Both sexes,BTSX,Cause,Stroke,ENVCAUSE114,,,,,,,12018,,,5430,,19729,12 018 [5430 – 19 729],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2019,true,Sex,Male,MLE,Cause,Stroke,ENVCAUSE114,,,,,,,12024,,,6623,,18301,12 024 [6623 – 18 301],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,12039,,,6750,,16645,12 039 [6750 – 16 645],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Both sexes,BTSX,Cause,Stroke,ENVCAUSE114,,,,,,,12085,,,6575,,18246,12 085 [6575 – 18 246],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,Sex,Both sexes,BTSX,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,12091,,,2571,,29391,12 091 [2571 – 29 391],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,Sex,Female,FMLE,Cause,Total,ENVCAUSE000,,,,,,,12108,,,7406,,17064,12 108 [7406 – 17 064],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,true,Sex,Both sexes,BTSX,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,12118,,,6861,,16852,12 118 [6861 – 16 852],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,PER,Peru,Year,2019,true,Sex,Male,MLE,Cause,Stroke,ENVCAUSE114,,,,,,,12119,,,6054,,18556,12 119 [6054 – 18 556],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,true,Sex,Both sexes,BTSX,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,12143,,,3799,,23880,12 143 [3799 – 23 880],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,12179,,,5764,,21826,12 179 [5764 – 21 826],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Female,FMLE,Cause,Stroke,ENVCAUSE114,,,,,,,12190,,,5893,,19518,12 190 [5893 – 19 518],,,EN,2022-08-26T07:00:00.000Z
