"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",16.743,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",16.596,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",7.713,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",7.322,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.711,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.475,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.343,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.57,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.903,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.792,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.624,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.504,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.096,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.376,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.363,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.374,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",12.395,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",11.586,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",11.011,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",10.459,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",9.881,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.056,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",9.145,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",8.78,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.513,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.376,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",7.833,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.657,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",7.91,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",7.848,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",25.912,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",24.331,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",23.864,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",21.213,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.088,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",21.195,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.635,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.911,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",16.909,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.81,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",15.557,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",15.875,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",16.033,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",15.848,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",13.392,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",12.999,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.984,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.22,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",11.717,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.885,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.317,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.575,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",13.924,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.601,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",13.544,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",13.761,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",13.658,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",13.647,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",25.145,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",24.394,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",24.251,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",23.574,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",22.903,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",25.516,
